Export MPAN / MSID,Import MPAN / MSID,Customer Name,Customer Site,Address Line 1,Address Line 2,Town/ City,County,Postcode,Country,Location (X-coordinate):_Eastings (where data is held),Location (y-coordinate):_Northings (where data is held),Grid Supply Point,Bulk Supply Point,Primary,Point of Connection (POC)_Voltage (kV),Licence Area,Energy Source 1,Energy Conversion Technology 1,CHP Cogeneration (Yes/No),Storage Capacity 1 (MWh),Storage Duration 1 (Hours),Energy Source & Energy Conversion Technology 1 - Registered Capacity (MW),Energy Source 2,Energy Conversion Technology 2,CHP Cogeneration 2 (Yes/No),Storage Capacity 2 (MWh),Storage Duration 2 (Hours),Energy Source & Energy Conversion Technology 2 - Registered Capacity (MW),Energy Source 3,Energy Conversion Technology 3,CHP Cogeneration 3 (Yes/No),Storage Capacity 3 (MWh),Storage Duration 3 (Hours),Energy Source & Energy Conversion Technology 3 - Registered Capacity (MW),Flexible Connection (Yes/No),Connection Status,Already connected Registered Capacity (MW),Already Connected - Maximum Export Capacity (MW),Already Connected - Maximum Export Capacity (MVA),Already Connected - Maximum Import Capacity (MW),Already Connected - Maximum Import Capacity (MVA),Date Connected,Accepted to Connect Registered Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MVA),Accepted to Connect - Change to Maximum Import Capacity (MW),Accepted to Connect - Change to Maximum Import Capacity (MVA),Date Accepted,Target Energisation Date,Distribution Service Provider (Y/N),Transmission Service Provider (Y/N),Reference,In a Connection Queue (Y/N),Distribution Reinforcement Reference,Transmission Reinforcement Reference,Last Updated,Longitude,Latitude,SpatialCoordinates_Customer,SiteFunctionalLocation,Primary Resource Type_Group
Data not available,,Elgin Energy,(ANM - N/A) Long Lane,,,Gamlingay,Cambs,SG19 3BP,England,525530,253211,Eaton Socon,Little Barford 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,25.0,Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,25.0,,,,,,,Yes,Accepted to Connect,,,,,,,25.0,25.0,26.316,25.0,26.316,2021-11-11,2032-10-31,,,,,,,2021-12-14,-0.166188222735369,52.1629059785169,"52.1629059785169, -0.166188222735369",EPN-S0000000D4055,Solar PV
Data not available,,Serruys Property Company Ltd,(ANM - N/A) THE OLD PUMPHOUSE,,,Norwich,Norfolk,NR14 8SZ,England,624491,307012,Norwich Main,-,,132.0,Eastern Power Networks (EPN),Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,150.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,150.0,150.0,157.895,150.0,157.895,2021-11-09,2031-10-31,,,,,,,2024-01-15,1.31459466422497,52.6144528418215,"52.6144528418215, 1.31459466422497",,Storage
Data not available,,Crays Hall Solar Ltd,(ANM) Crays Hall Farm,Crays Hill,,Basildon,Essex,CM11 2UN,England,570936,192973,Warley,Shenfield Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,29.915,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,29.915,29.915,31.489,0.0,0.0,2021-11-16,2025-06-30,,,,,,,2024-09-13,0.467235614131598,51.6096427632117,"51.6096427632117, 0.467235614131598",EPN-S0000000D7114,Solar PV
Data not available,,Abbey Developments Cambs Limited,WALPOLE BANK EAST,,,WISBECH,Cambs,PE14 7HW,England,549250,316896,Walpole,-,,132.0,Eastern Power Networks (EPN),Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,99.9,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,99.9,99.9,105.158,99.9,105.158,2021-10-25,,,,,,,,2024-01-15,0.208782549023494,52.729117330174,"52.729117330174, 0.208782549023494",,Storage
Data not available,,RES Group,(ANM) Land at Grange Farm,Little Common,Ringsfield,Beccles,Suffolk,NR34 8NY,England,638762,288455,Bramford,Ilketshall Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,40.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,40.0,40.0,42.105,,,2021-12-23,2031-10-31,,,,,,,2022-12-14,1.51165536440098,52.4418622567811,"52.4418622567811, 1.51165536440098",EPN-S0000000D5089,Solar PV
Data not available,,PACE TITAN ENERGY LIMITED,(ANM) East of Guanockgate Road,Gorefield,,Wisbech,Cambs,PE13 4PL,England,540596,311960,Walpole,-,,132.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,78.0,Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,78.0,,,,,,,Yes,Accepted to Connect,,,,,,,78.0,78.0,82.105,30.0,31.579,2022-01-17,,,,,,,,2024-07-12,0.0786126679823325,52.6870904927501,"52.6870904927501, 0.0786126679823325",,Solar PV
Data not available,,Road Night Taylor,(ANM) Coventry Farm,Six Mile Bottom,,Newmarket,Suffolk,CB8 0UW,England,556690,258880,Burwell,Fulbourn Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,35.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,35.0,35.0,36.842,0.1,0.105,2022-01-26,2031-10-31,,,,,,,2024-01-15,0.29162846996694,52.2058750390358,"52.2058750390358, 0.29162846996694",EPN-S0000000D4084,Solar PV
Data not available,,Fichtner Consulting Engineers Ltd,CHURCH ROAD,,,Braintree,Essex,CM77 8EP,England,580912,222438,Braintree,-,,132.0,Eastern Power Networks (EPN),Waste,Steam turbine (thermal power plant),,,,55.0,,,,,,,,,,,,,No,Connected,55.0,55.0,57.895,24.13,25.4,2025-07-03,,,,,,,,,,,,,,2025-04-14,0.626458078154906,51.8711742055611,"51.8711742055611, 0.626458078154906",,Biogas
Data not available,,The Abbey Group Cambridgeshire Ltd,Land East of Walpole Bank,Walpole St Andrews,,WISBECH,Cambs,PE14 7JE,England,548554,316658,Walpole,-,,132.0,Eastern Power Networks (EPN),Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,99.9,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,99.9,99.9,105.158,99.9,105.158,2022-02-23,,,,,,,,2024-01-15,0.198376305303469,52.7271708111929,"52.7271708111929, 0.198376305303469",,Storage
Data not available,,Road Night Taylor,(ANM) Land North of Maldon Road,,,MALDON,Essex,CM9 6RL,England,581387,205979,Rayleigh,-,,132.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,49.9,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,49.9,49.9,52.526,0.25,0.263,2022-05-10,2032-10-30,,,,,,,2024-01-15,0.624748009026609,51.7231930103897,"51.7231930103897, 0.624748009026609",,Solar PV
