hour,breach_count,curtailment_count,breach_locations,der_list,total_curtailed_kwh
2023-01-11 06:00:00+00:00,12,3,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER9, DER1, DER35",10707.880594062806
2023-01-11 07:00:00+00:00,6,2,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",DER35,159.61385416666667
2023-01-11 10:00:00+00:00,2,4,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,"DER1, DER35, DER9",1832.0152696980372
2023-01-11 11:00:00+00:00,19,13,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL","DER35, DER1, DER9",73119.75681399874
2023-01-11 12:00:00+00:00,10,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-11 13:00:00+00:00,10,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-11 14:00:00+00:00,9,1,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,DER35,4434.038031327989
2023-01-11 15:00:00+00:00,11,8,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, SALL GRID 132KV - EARLHAM CIRCUIT 2 SUM CONSTRAINT, SALL GRID 132KV - EARLHAM CIRCUIT 1 SUM CONSTRAINT","DER4, DER36, DER41, DER37, DER7, DER29, DER18, DER34",195973.6504517746
2023-01-11 16:00:00+00:00,9,2,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, SALL GRID 132KV - EARLHAM CIRCUIT 1 SUM CONSTRAINT","DER1, DER35",20555.188555345536
2023-01-11 17:00:00+00:00,4,0,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL",,0.0
2023-01-11 18:00:00+00:00,8,3,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER1, DER35",1028.107375776503
2023-01-11 23:00:00+00:00,23,4,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,"DER1, DER9, DER35",104738.70981271955
2023-01-12 00:00:00+00:00,16,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-12 01:00:00+00:00,2,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-12 02:00:00+00:00,3,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-12 03:00:00+00:00,4,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-12 04:00:00+00:00,12,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-12 05:00:00+00:00,15,1,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,DER1,9.411341145833331
2023-01-12 08:00:00+00:00,0,1,,DER27,29.583333333333336
2023-01-12 10:00:00+00:00,7,5,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL","DER35, DER9, DER1",96546.24391789755
2023-01-12 11:00:00+00:00,17,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-12 12:00:00+00:00,15,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-12 13:00:00+00:00,18,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-12 14:00:00+00:00,19,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-12 15:00:00+00:00,12,0,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL",,0.0
2023-01-12 16:00:00+00:00,8,0,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL",,0.0
2023-01-12 17:00:00+00:00,6,4,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL","DER9, DER1, DER35",216043.38512406877
