constraint_description,constraint_type,main_location,secondary_location,matched_site,latitude,longitude,latitude_2,longitude_2,geolocation_source,geolocation_method,constraint_id
Ilmer Grid - Amersham Main Sum Constraint (AI route),aggregate,ILMER GRID,,LEIGH GRID,51.20213495173,-0.217255557020997,,,grid_sites,substation_direct,0C8048_SS_CONSTR-SUM~AI
Diss Grid 132/33kV - GT4,transformer,DISS GRID GRID,,DISS GRID 132KV,52.3723032543849,1.10611633424584,,,grid_sites,substation_direct,0D1014_934-GT4_CONSTR-CCT
Eye Primary 33kV - Diss Grid,substation,EYE PRIMARY GRID,,EYE PRIMARY 33KV,52.3210496999678,1.16064336173677,,,grid_sites,substation_direct,0D1014_936-CCT_CONSTR-CCT
Stowmarket Grid  132/33kV - GT1B,transformer,STOWMARKET GRID GRID,,STOWMARKET GRID 132KV,52.171223636163,1.01821448090138,,,grid_sites,substation_direct,0D1018_004-GT1B_CONSTR-CCT
Stowmarket Grid  132/33kV - GT2,transformer,STOWMARKET GRID GRID,,STOWMARKET GRID 132KV,52.171223636163,1.01821448090138,,,grid_sites,substation_direct,0D1018_012-GT2_CONSTR-CCT
Thetford Grid 132/33kV - GT1,transformer,THETFORD GRID GRID,,THETFORD GRID 33/11KV,52.3872190958013,0.736478402750066,,,grid_sites,substation_direct,0D1056_915-GT1_CONSTR-CCT
Thetford Grid 33kV - Ingham Solar 33kV,substation,THETFORD GRID GRID,,THETFORD GRID 33/11KV,52.3872190958013,0.736478402750066,,,grid_sites,substation_direct,0D1056_935-CCT_CONSTR-CCT
HUNTINGDON GRID 132/33kV - GT1,transformer,HUNTINGDON GRID GRID,,HUNTINGDON GRID 132KV,52.3411055103611,-0.183618102378877,,,grid_sites,substation_direct,0D4068_913-GT1_CONSTR-CCT
Thorpe Grid 33kV - Trowse T Wroxham 2,substation,THORPE GRID GRID,,THORPE GRID 132KV,52.6225373412088,1.32065922068105,,,grid_sites,substation_direct,0D5014_935+CCT1_CONSTR-CCT
Thorpe Grid 132/33kV - GT1B,transformer,THORPE GRID GRID,,THORPE GRID 132KV,52.6225373412088,1.32065922068105,,,grid_sites,substation_direct,0D5014_GT1B_CONSTR-CCT
Sall Grid – Sprowston 2,substation,SALL GRID,,SMALLFIELD GRID,51.1772206726174,-0.132275290346761,,,grid_sites,substation_direct,0D5023_911-CCT_CONSTR-CCT
